Project,Grantee,"Category 
(as determined by ZCG)","Reporting Frequency 
(as determined by ZCG)",Milestone,Amount (USD),Estimate,Paid Out,ZEC Disbursed,USD Disbursed,ZEC/USD,Grant Status
ZCash UniFFI Library,Equilibrium,Infrastructure,,3,"$72,000.00",, 24 Mar 2023,1959.18,,$36.75,Completed
ZCash UniFFI Library,Equilibrium,Infrastructure,,4,"$54,000.00",, 25 Apr 2023,1467.39,,$36.80,Completed
ZCash UniFFI Library,Equilibrium,Infrastructure,,5,"$36,000.00",, 15 Jun 2023,1453.37,,$24.77,Completed
Alphaday.com Grant Application,Alphaday,Community,Milestone,1,"$3,700.00",, 14 Aug 2023,125.13,,$29.57,Completed
Alphaday.com Grant Application,Alphaday,Community,,2,"$1,200.00",, 11 Jan 2024,49.18,,$24.40,Completed
ZecHub,ZecHub,Education,Monthly,Start Up,"$18,592.00",, 24 Mar 2023,502.22,,$37.02,Completed
ZecHub,ZecHub,Education,,1,"$4,818.00",, 1 Mar 2023,108.32,,$44.48,Completed
ZecHub,ZecHub,Education,,2,"$4,818.18",, 4 Apr 2023,127.33,,$37.84,Completed
ZecHub,ZecHub,Education,,3,"$4,818.00",, 1 May 2023,132.54,,$36.35,Completed
ZecHub,ZecHub,Education,,4,"$4,818.00",, 31 May 2023,149.81,,$32.16,Completed
ZecHub,ZecHub,Education,,5,"$4,818.00",, 30 Jun 2023,149.91,,$32.14,Completed
ZecHub,ZecHub,Education,,6,"$4,818.00",, 15 Aug 2023,164.72,,$29.25,Completed
ZecHub,ZecHub,Education,,7,"$4,818.00",, 1 Sep 2023,195.85,,$24.60,Completed
ZecHub,ZecHub,Education,,8,"$4,818.00",, 2 Oct 2023,178.48,,$26.99,Completed
ZecHub,ZecHub,Education,,9,"$4,818.00",, 31 Oct 2023,171.15,,$28.15,Completed
ZecHub,ZecHub,Education,,10,"$4,818.00",, 30 Nov 2023,162.61,,$29.63,Completed
ZecHub,ZecHub,Education,,11,"$4,818.00",, 2 Jan 2024,174.76,,$27.57,Completed
Zcash Media 2023,Zcash Media,Media,Monthly,Start Up Funding: Payout 1,"$100,000.00",, 13 Mar 2023,2820.87,,$35.45,Cancelled
Zcash Media 2023,Zcash Media,Media,,Start Up Funding: Payout 2,"$100,000.00",, 28 Mar 2023,2801.12,,$35.70,Cancelled
Zcash Media 2023,Zcash Media,Media,,Start Up Funding: Payout 3,"$100,000.00",, 8 May 2023,2959.46,,$33.79,Cancelled
Zcash Media 2023,Zcash Media,Media,,1: Payout 1,"$100,000.00",, 30 Apr 2024,4755.11,,$21.03,Cancelled
Zcash Media 2023,Zcash Media,Media,,1: Payout 2,"$100,000.00",, 6 May 2024,4306.63,,$23.22,Cancelled
Zcash Media 2023,Zcash Media,Media,,1: Payout 3,"$100,000.00",, 9 May 2024,4253.51,,$23.51,Cancelled
Zcash Media 2023,Zcash Media,Media,,2: Payout 1,,,,,,,Cancelled
Zcash Media 2023,Zcash Media,Media,,2: Payout 2,,,,,,,Cancelled
Zcash Media 2023,Zcash Media,Media,,2: Payout 3,,,,,,,Cancelled
Blockchain Training Alliance development of Zcash training programs,BTA,Education,NA,Start Up Funding,"$25,000.00",, 13 Feb 2023,578.44,,$43.22,Completed
Blockchain Training Alliance development of Zcash training programs,BTA,Education,,1,"$25,000.00",, 1 May 2023,678.98,,$36.82,Completed
Privacy services from Zcash to Status usage within the Ukrainian-Russian war (research),Siusko,Research & Development,NA,1,"$2,500.00",, 29 Mar 2023,66.67,,$37.50,Completed
Privacy services from Zcash to Status usage within the Ukrainian-Russian war (research),Siusko,Research & Development,,2,"$2,500.00",, 17 May 2023,75.17,,$33.26,Completed
Free2Z: Preparing the Garden For Spring,Free2Z,Non-Wallet Applications,Milestone,1,"$111,000.00",, 8 Mar 2023,3049.45,,$36.40,Completed
Free2Z: Preparing the Garden For Spring,Free2Z,Non-Wallet Applications,,2,"$111,000.00",, 10 May 2023,3320.37,,$33.43,Completed
Free2Z: Preparing the Garden For Spring,Free2Z,Non-Wallet Applications,,3,"$111,000.00",, 6 Feb 2024,5401.46,,$20.55,Completed
halo2 Community Manager,Ying Tong,Dedicated Resource,Milestone,1,,,,,,,Cancelled
halo2 Community Manager,Ying Tong,Dedicated Resource,,2,,,,,,,Cancelled
halo2 Community Manager,Ying Tong,Dedicated Resource,,3,,,,,,,Cancelled
Nighthawk Wallet & Public Infrastructure,Nighthawk,Wallets & Infrastructure,NA,Start Up Funding,"$300,000.00",, 8 Mar 2023,8382.23,,$35.79,Completed
Nighthawk Wallet & Public Infrastructure,Nighthawk,Wallets & Infrastructure,,1,"$150,000.00",, 20 Jun 2023,5753.74,,$26.07,Completed
Nighthawk Wallet & Public Infrastructure,Nighthawk,Wallets & Infrastructure,,2,"$101,000.00",, 16 Oct 2023,3962.34,,$25.49,Completed
Authentic Financial Insight,Zingo Labs,Wallets,Milestone,Start Up Funding,"$187,500.00",, 3 Mar 2023,4733.65,,$39.61,Completed
Authentic Financial Insight,Zingo Labs,Wallets,,1,"$62,500.00",, 1 Jun 2023,1953.74,,$31.99,Completed
Authentic Financial Insight,Zingo Labs,Wallets,,2,"$62,500.00",, 5 Feb 2024,2923.29,,$21.38,Completed
Authentic Financial Insight,Zingo Labs,Wallets,,3,"$62,500.00",, 22 Jul 2024,1974.1,,$31.66,Completed
"Shielded Support for Ledger Hardware Wallets (NanoS+, NanoX)",Hanh,Wallets,NA,1,"$100,100.00",, 1 Jun 2023,3133.02,,$31.95,Completed
"Shielded Support for Ledger Hardware Wallets (NanoS+, NanoX)",Hanh,Wallets,,2,"$100,000.00",, 13 Jun 2023,3952.57,,$25.30,Completed
"Shielded Support for Ledger Hardware Wallets (NanoS+, NanoX)",Hanh,Wallets,,3,"$100,000.00",, 22 Jun 2023,3765.06,,$26.56,Completed
Zcash based secure payment infrastructure (Exploratory Phase),Birdcalls,Infrastructure,NA,Start Up Funding,"$6,000.00",, 11 Apr 2023,151.36,,$39.64,Completed
Zcash based secure payment infrastructure (Exploratory Phase),Birdcalls,Infrastructure,,1,"$8,600.00",, 24 May 2023,276.79,,$31.07,Completed
Zcash-Avalanche Elastic Subnet Bridge,RedDev,Infrastructure,Milestone,Start Up Funding,"$12,032.00",, 16 May 2023,366.27,,$32.85,Open
Zcash-Avalanche Elastic Subnet Bridge,RedDev,Infrastructure,,1,"$28,343.00",, 18 Jul 2023,906.69,,$31.26,Open
Zcash-Avalanche Elastic Subnet Bridge,RedDev,Infrastructure,,2,"$28,343.00",, 11 Dec 2023,933.56,,$30.36,Open
Zcash-Avalanche Elastic Subnet Bridge,RedDev,Infrastructure,,3,"$56,686.00",, 10 Oct 2024,1858.56,,$30.50,Open
Zcash-Avalanche Elastic Subnet Bridge,RedDev,Infrastructure,,4,"$28,343.00",, 8 Apr 2026,86.28,,$328.50,Open
Zcash-Avalanche Elastic Subnet Bridge,RedDev,Infrastructure,,5,"$28,343.00",  30 Jun 2024,,,,,Open
Zcash-Avalanche Elastic Subnet Bridge,RedDev,Infrastructure,,6,"$28,343.00",  31 Jul 2024,,,,,Open
halo2 docs improvement,Halo2 Docs,Education,Milestone,1,,,,,,,Cancelled
halo2 docs improvement,Halo2 Docs,Education,,2,,,,,,,Cancelled
halo2 docs improvement,Halo2 Docs,Education,,3,,,,,,,Cancelled
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,Monthly,Start Up Funding,"$450,000.00",, 17 May 2023,13473.05,,$33.40,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,Start Up Funding,"$450,000.00",, 15 Jun 2023,18167.14,,$24.77,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,1,"$40,000.00",, 16 May 2025,968.29,,$41.31,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,2,"$25,000.00",, 17 Feb 2026,87.64,,$285.26,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,3,"$40,000.00",, 17 Feb 2026,140.22,,$285.27,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,4,"$105,000.00",, 17 Feb 2026,368.07,,$285.27,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,5,"$40,000.00",, 19 Feb 2025,1101.32,,$36.32,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,6,"$75,000.00",, 8 Feb 2024,3605.77,,$20.80,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,7,"$128,000.00",, 20 Jun 2024,6377.68,,$20.07,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,8,"$128,000.00",, 16 Jul 2024,4206.38,,$30.43,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,9,"$90,000.00",, 16 Sep 2024,3109.88,,$28.94,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,10,"$100,000.00",, 8 Apr 2024,3508.77,,$28.50,Completed
Zcash Shielded Assets - Asset Swaps and Beyond,QEDIT,Zcash Protocol Extension,,11,"$129,000.00",, 19 Aug 2024,3097.24,,$41.65,Completed
Crypto Lounge Experience and The Hunting of The Snark,Inversed Tech,Event Sponsorship,NA,Conference Sponsorship (up front),"$3,821.00",, 13 Jul 2023,119.52,,$31.97,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,Monthly,1,"$12,500.00",, 7 Sep 2023,498.6,,$25.07,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,2,"$12,500.00",, 27 Sep 2023,477.83,,$26.16,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,3,"$12,500.00",, 31 Oct 2023,442.48,,$28.25,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,4,"$12,500.00",, 28 Nov 2023,426.18,,$29.33,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,5,"$12,500.00",, 28 Dec 2023,394.94,,$31.65,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,6,"$12,500.00",, 17 Jan 2024,544.66,,$22.95,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,7,"$12,500.00",, 27 Feb 2024,437.98,,$28.54,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,8,"$12,500.00",, 26 Mar 2024,399.11,,$31.32,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,9,"$12,500.00",, 13 May 2024,568.44,,$21.99,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,10,"$12,500.00",, 3 Jun 2024,473,,$26.43,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,11,"$12,500.00",, 8 Jul 2024,623.13,,$20.06,Completed
YWallet Maintenance and Minor Improvements,Hanh,Wallets,,12,"$12,500.00",, 4 Dec 2024,175.81,,$71.10,Completed
Zcash Wallet Community Developer,Pacu,Dedicated Resource,Monthly,Start Up Funding,"$10,778.00",, 14 Aug 2023,365.36,,$29.50,Completed
Zcash Wallet Community Developer,Pacu,Dedicated Resource,,1,"$7,500.00",, 4 Sep 2023,306.37,,$24.48,Completed
Zcash Wallet Community Developer,Pacu,Dedicated Resource,,2,"$7,500.00",, 16 Oct 2023,293.54,,$25.55,Completed
Zcash Wallet Community Developer,Pacu,Dedicated Resource,,3,"$15,000.00",, 16 Nov 2023,498.67,,$30.08,Completed
Zcash Wallet Community Developer,Pacu,Dedicated Resource,,4,"$15,000.00",, 2 Jan 2024,539.57,,$27.80,Completed
Zcash Wallet Community Developer,Pacu,Dedicated Resource,,5,"$15,000.00",, 11 Jan 2024,614.75,,$24.40,Completed
Zcash UniFFI Library addenda,Equilibrium,Infrastructure,Milestone,1,"$48,000.00",, 8 Nov 2023,1596.81,,$30.06,Completed
Zcash UniFFI Library addenda,Equilibrium,Infrastructure,,2,"$48,000.00",, 11 Dec 2023,1570.17,,$30.57,Completed
Zcash UniFFI Library addenda,Equilibrium,Infrastructure,,3,"$48,000.00",, 11 Dec 2023,1570.17,,$30.57,Completed
"Zcash User Research & Engagement (ZURE), Phase 1",Tatyana,Community,Milestone,1,"$17,500.00",, 11 Jan 2024,717.21,,$24.40,Completed
"Zcash User Research & Engagement (ZURE), Phase 1",Tatyana,Community,,2,"$17,500.00",, 21 Mar 2024,605.12,,$28.92,Completed
Official Shielded Support for Zcash in Ledger HW Wallet,Zondax,Wallets,Monthly,1,"$6,200.00",, 14 Nov 2024,164.33,,$37.73,Completed
Official Shielded Support for Zcash in Ledger HW Wallet,Zondax,Wallets,,2,"$22,000.00",, 14 Nov 2024,583.09,,$37.73,Completed
Official Shielded Support for Zcash in Ledger HW Wallet,Zondax,Wallets,,3,"$61,200.00",, 14 Nov 2024,1622.05,,$37.73,Completed
Official Shielded Support for Zcash in Ledger HW Wallet,Zondax,Wallets,,4,"$12,400.00",, 19 Dec 2024,262.22,,$47.29,Completed
"ZecHub, An open source education hub for Zcash",ZecHub,Education,Monthly,Start Up Funding,"$8,900.00",, 3 Jan 2024,349.78,,$25.44,Completed
"ZecHub, An open source education hub for Zcash",ZecHub,Education,,1,"$7,216.00",, 31 Jan 2024,332.53,,$21.70,Completed
"ZecHub, An open source education hub for Zcash",ZecHub,Education,,2,"$7,216.00",, 29 Feb 2024,250.29,,$28.83,Completed
"ZecHub, An open source education hub for Zcash",ZecHub,Education,,3,"$7,216.00",, 2 Apr 2024,266.18,,$27.11,Completed
"ZecHub, An open source education hub for Zcash",ZecHub,Education,,4,"$7,216.00",, 3 May 2024,314.42,,$22.95,Completed
"ZecHub, An open source education hub for Zcash",ZecHub,Education,,5,"$7,216.00",, 3 Jun 2024,273,,$26.43,Completed
Zcash Global <> Zcash Brazil,Zcash Brazil,Community,Monthly,1,"$5,600.00",, 30 Jan 2024,246.06,,$22.76,Completed
Zcash Global <> Zcash Brazil,Zcash Brazil,Community,,2,"$5,600.00",, 29 Feb 2024,195.6,,$28.63,Completed
Zcash Global <> Zcash Brazil,Zcash Brazil,Community,,3,"$5,600.00",, 29 Mar 2024,182.17,,$30.74,Completed
ZGo Support 2024,Vergara Technologies ,Non-Wallet Applications,Quarterly,1,"$8,050.00",, 5 Feb 2024,379.54,,$21.21,Completed
ZGo Support 2024,Vergara Technologies ,Non-Wallet Applications,,2,"$8,050.00",, 2 Sep 2024,277.78,,$28.98,Completed
Zcash Wallet Community Developer 2024,Pacu,Dedicated Resource,Monthly,Start Up Funding,$200.00,, 16 Feb 2024,8.87,,$22.55,Completed
Zcash Wallet Community Developer 2024,Pacu,Dedicated Resource,,1,"$15,000.00",, 23 Feb 2024,553.51,,$27.10,Completed
Zcash Wallet Community Developer 2024,Pacu,Dedicated Resource,,2,"$15,000.00",, 26 Mar 2024,478.93,,$31.32,Completed
Zcash Wallet Community Developer 2024,Pacu,Dedicated Resource,,3,"$15,000.00",, 23 May 2024,612.24,,$24.50,Completed
The Nym mixnet for Network Privacy for Zcash,Nym Technologies,Integration,Milestone,1,"$20,000.00",, 25 Oct 2024,551.42,,$36.27,Open
The Nym mixnet for Network Privacy for Zcash,Nym Technologies,Integration,,2,"$75,000.00",, 21 Mar 2025,2377.18,,$31.55,Open
The Nym mixnet for Network Privacy for Zcash,Nym Technologies,Integration,,3,"$30,000.00",  30 Nov 2024,,,,,Open
The Nym mixnet for Network Privacy for Zcash,Nym Technologies,Integration,,4,"$25,000.00",  28 Feb 2025,,,,,Open
Zenith Full Node Wallet,Vergara Technologies ,Wallets,Monthly,1,"$31,200.00",, 13 May 2024,1409.85,,$22.13,Completed
Zenith Full Node Wallet,Vergara Technologies ,Wallets,,2,"$31,200.00",, 22 Jul 2024,984.85,,$31.68,Completed
Zenith Full Node Wallet,Vergara Technologies ,Wallets,,3,"$31,200.00",, 4 Dec 2024,435.15,,$71.70,Completed
Zenith Full Node Wallet,Vergara Technologies ,Wallets,,4,"$31,200.00",, 13 Mar 2025,1035.51,,$30.13,Completed
Proof of Balance,Hanh,Research & Development,Monthly,1,,,,,,,Cancelled
ZCash SDK Feasibility Study [JS/TS],ChainSafe,Research & Development,Milestone,1,"$35,000.00",, 19 Apr 2024,1563.2,,$22.39,Completed
Transparent & Shielded DEX with Maya Protocol,Hanh,Integration,Monthly,1,"$20,000.00",, 22 May 2024,807.1,,$24.78,Completed
Transparent & Shielded DEX with Maya Protocol,Hanh,Integration,,2,"$30,000.00",, 28 Oct 2024,793.86,,$37.79,Completed
Transparent & Shielded DEX with Maya Protocol,Hanh,Integration,,3,"$15,000.00",, 28 May 2025,296.62,,$50.57,Completed
Transparent & Shielded DEX with Maya Protocol,Hanh,Integration,,4,"$15,000.00",, 28 May 2025,296.62,,$50.57,Completed
Transparent & Shielded DEX with Maya Protocol,Hanh,Integration,,5,$0.00,, 28 May 2025,0,,,Completed
Zcash Global <> Zcash Brazil Q2 2024,Zcash Brazil,Community,Monthly,1,"$5,600.00",, 30 Apr 2024,266.29,,$21.03,Completed
Zcash Global <> Zcash Brazil Q2 2024,Zcash Brazil,Community,,2,"$5,600.00",, 31 May 2024,209,,$26.79,Completed
Zcash Global <> Zcash Brazil Q2 2024,Zcash Brazil,Community,,3,"$5,600.00",, 1 Jul 2024,270.01,,$20.74,Completed
Zcash Wallet Community Developer 2024 Q2 ,Pacu,Dedicated Resource,Monthly,1,"$15,000.00",, 12 Jun 2024,634.79,,$23.63,Completed
Zcash Wallet Community Developer 2024 Q2 ,Pacu,Dedicated Resource,,2,"$15,000.00",, 22 Jul 2024,477.1,,$31.44,Completed
Zcash Wallet Community Developer 2024 Q2 ,Pacu,Dedicated Resource,,3,"$15,000.00",, 26 Sep 2024,489.24,,$30.66,Completed
Zcash Lightwalletd Infrastructure Development and Maintenance,Emersonian & Zancas,Infrastructure,Milestone,Start Up Funding,"$11,250.00",, 30 Apr 2024,534.95,,$21.03,Completed
Zcash Lightwalletd Infrastructure Development and Maintenance,Emersonian & Zancas,Infrastructure,,1,$0.00,, 8 Jul 2024,0,,,Completed
Zcash Lightwalletd Infrastructure Development and Maintenance,Emersonian & Zancas,Infrastructure,,2,"$11,250.00",, 22 Jul 2024,355.45,,$31.65,Completed
Zcash Lightwalletd Infrastructure Development and Maintenance,Emersonian & Zancas,Infrastructure,,3,"$11,250.00",, 17 Oct 2024,313.2,,$35.92,Completed
Zcash Lightwalletd Infrastructure Development and Maintenance,Emersonian & Zancas,Infrastructure,,4,"$11,250.00",, 11 Mar 2025,364.31,,$30.88,Completed
Zcash Lightwalletd Infrastructure Development and Maintenance,Emersonian & Zancas,Infrastructure,,5,$0.00,, 11 Mar 2025,0,,,Completed
Zcash Parsers,Mark Harris,Infrastructure,Milestone,1,"$3,600.00",, 31 May 2024,134.38,,$26.79,Completed
Zcash Parsers,Mark Harris,Infrastructure,,2,"$3,600.00",, 31 May 2024,134.58,,$26.75,Completed
Block Explorer + Testnet Infrastructure ,Cacho,Infrastructure,Milestone,Start Up Funding,$450.00,, 6 Jun 2024,16.96,,$26.53,Completed
Block Explorer + Testnet Infrastructure ,Cacho,Infrastructure,,1,"$4,500.00",, 5 Mar 2025,125.21,,$35.94,Completed
Block Explorer + Testnet Infrastructure ,Cacho,Infrastructure,,2,"$4,950.00",, 11 Jul 2025,113.38,,$43.66,Completed
Block Explorer + Testnet Infrastructure ,Cacho,Infrastructure,,3,"$4,500.00",, 11 Jul 2025,103.07,,$43.66,Completed
Assistance for Legal Compliance Activities (2024),QEDIT,Zcash Protocol Extension,Milestone,1,"$55,925.02",, 30 Jul 2024,1747.66,,$32.00,Completed
Assistance for Legal Compliance Activities (2024),QEDIT,Zcash Protocol Extension,,2,"$46,621.00",, 27 Dec 2024,720.57,,$64.70,Completed
ZSA Use-cases Features,QEDIT,Zcash Protocol Extension,Monthly,Start Up Funding #1,,,,,,,Cancelled
ZSA Use-cases Features,QEDIT,Zcash Protocol Extension,,Start Up Funding #2,,,,,,,Cancelled
ZSA Use-cases Features,QEDIT,Zcash Protocol Extension,,1,,,,,,,Cancelled
ZecHub: an education hub for Zcash,ZecHub,Education,Monthly,1,"$4,920.00",, 8 Jul 2024,245.26,,$20.06,Completed
ZecHub: an education hub for Zcash,ZecHub,Education,,2,"$4,920.00",, 31 Jul 2024,155.5,,$31.64,Completed
ZecHub: an education hub for Zcash,ZecHub,Education,,3,"$4,920.00",, 2 Sep 2024,170.95,,$28.78,Completed
ZecHub: an education hub for Zcash,ZecHub,Education,,4,"$4,920.00",, 2 Oct 2024,181.42,,$27.12,Completed
ZecHub: an education hub for Zcash,ZecHub,Education,,5,"$4,920.00",, 5 Nov 2024,129.27,,$38.06,Completed
ZecHub: an education hub for Zcash,ZecHub,Education,,6,"$4,920.00",, 4 Dec 2024,69.2,,$71.10,Completed
ZecHub: an education hub for Zcash,ZecHub,Education,,7,"$4,920.00",, 10 Jan 2025,101.97,,$48.25,Completed
Zcash Global <> Zcash Brazil Q3 2024,Zcash Brazil,Community,Monthly,1,"$5,600.00",, 31 Jul 2024,176.99,,$31.64,Completed
Zcash Global <> Zcash Brazil Q3 2024,Zcash Brazil,Community,,2,"$5,600.00",, 2 Sep 2024,193.24,,$28.98,Completed
Zcash Global <> Zcash Brazil Q3 2024,Zcash Brazil,Community,,3,"$5,600.00",, 1 Oct 2024,205.13,,$27.30,Completed
ZecHub Bounty Program Admin,FPF ,Education,Milestone,Start Up Funding,"$13,134.00",, 11 Jul 2024,550,,$23.88,Completed
WebZjs - ZCash Browser Wallet Library,ChainSafe,Integration,Monthly,1,"$17,000.00",, 19 Nov 2024,389.73,,$43.62,Completed
WebZjs - ZCash Browser Wallet Library,ChainSafe,Integration,,2,"$17,000.00",, 2 Dec 2024,295.96,,$57.44,Completed
WebZjs - ZCash Browser Wallet Library,ChainSafe,Integration,,3,"$66,000.00",, 2 Dec 2024,1149.03,,$57.44,Completed
WebZjs - ZCash Browser Wallet Library,ChainSafe,Integration,,4,"$33,000.00",, 2 Dec 2024,574.51,,$57.44,Completed
WebZjs - ZCash Browser Wallet Library,ChainSafe,Integration,,5,"$17,000.00",, 2 Dec 2024,295.96,,$57.44,Completed
Zcash (Both Transparent & Shielded Address) Support for Keystone Hardware Wallet,Keystone Team,Integration,Monthly,1,"$30,000.00",, 29 Apr 2025,849.14,,$35.33,Completed
Zcash (Both Transparent & Shielded Address) Support for Keystone Hardware Wallet,Keystone Team,Integration,,2,"$60,000.00",, 29 Apr 2025,"1,698.27",,$35.33,Completed
Zcash (Both Transparent & Shielded Address) Support for Keystone Hardware Wallet,Keystone Team,Integration,,3,"$60,000.00",, 29 Apr 2025,"1,698.27",,$35.33,Completed
Zcash (Both Transparent & Shielded Address) Support for Keystone Hardware Wallet,Keystone Team,Integration,,4,"$30,900.00",, 29 Apr 2025,874.61,,$35.33,Completed
Generation Z - Educational camp for youth,Zcash Español,Community,Milestone,Start Up Funding,"$3,500.00",, 22 Aug 2024,84.26,,$41.54,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,Milestone,Startup Funding,"$2,000.00",, 2 Mar 2026,8.98,,$222.72,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,Monthly,1,"$10,000.00",, 4 Oct 2024,371.89,,$26.89,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,2,"$10,000.00",, 5 Nov 2024,262.74,,$38.06,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,3,"$10,000.00",, 4 Dec 2024,140.65,,$71.10,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,4,"$10,000.00",, 6 Jan 2025,165.95,,$60.26,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,5,"$10,000.00",, 3 Feb 2025,305.16,,$32.77,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,6,"$10,000.00",, 5 Mar 2025,278.24,,$35.94,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,7,"$10,000.00",, 3 Apr 2025,261.30,,$38.27,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,8,"$10,000.00",, 1 May 2025,280.27,,$35.68,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,9,"$10,000.00",, 2 Jun 2025,188.32,,$53.10,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,10,"$10,000.00",, 1 Jul 2025,273.97,,$36.50,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,11,"$10,000.00",, 4 Aug 2025,270.49,,$36.97,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,12,"$10,000.00",, 1 Sep 2025,249.07,,$40.15,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,13,"$10,000.00",, 2 Oct 2025,67.77,,$147.56,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,14,"$10,000.00",, 3 Nov 2025,23.31,,$429.00,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,15,"$15,000.00",, 2 Dec 2025,42.55,,$352.53,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,16,"$15,000.00",, 31 Dec 2025,29.68,,$505.39,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,17,"$15,000.00",, 30 Jan 2026,44.45,,$337.46,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,18,"$15,000.00",, 3 Mar 2026,70.84,,$211.74,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,19,"$15,000.00",, 2 Apr 2026,63.91,,$234.71,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,20,"$15,000.00",, 30 Apr 2026,42.65,,$351.70,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,21,"$15,000.00",, 1 Jun 2026,27.98,,$536.10,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,22,$0.00,,,,,,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,23,$0.00,,,,,,Completed
Developer Relations Engineer,Pacu,Dedicated Resource,,24,$0.00,,,,,,Completed
User-Control for ZSAs,QEDIT,Infrastructure,Monthly,Start Up Funding #1,"$216,666.66",, 1 Jul 2024,10441.77,,$20.75,Completed
User-Control for ZSAs,QEDIT,Infrastructure,,Start Up Funding #2,"$216,666.66",, 23 Aug 2024,5164.88,,$41.95,Completed
User-Control for ZSAs,QEDIT,Infrastructure,,1,"$83,333.33",, 7 May 2026,145.42,,$573.05,Completed
User-Control for ZSAs,QEDIT,Infrastructure,,2,"$50,000.00",, 7 May 2026,87.27,,$572.93,Completed
User-Control for ZSAs,QEDIT,Infrastructure,,3,"$33,333.33",, 19 Dec 2024,704.87,,$47.29,Completed
User-Control for ZSAs,QEDIT,Infrastructure,,4,"$50,000.00",, 27 Feb 2025,1385.04,,$36.10,Completed
Build Zaino To Deprecate Zcashd and Decentralize Zcash,Zingo Labs,Protocol Development,Monthly,Start Up Funding,"$158,200.00",, 4 Oct 2024,5894.19,,$26.84,Completed
Build Zaino To Deprecate Zcashd and Decentralize Zcash,Zingo Labs,Protocol Development,,1,"$38,400.00",, 25 Nov 2024,793.88,,$48.37,Completed
Build Zaino To Deprecate Zcashd and Decentralize Zcash,Zingo Labs,Protocol Development,,1.5,"$4,000.00",, 31 Jan 2025,89.41,,$44.74,Completed
Build Zaino To Deprecate Zcashd and Decentralize Zcash,Zingo Labs,Protocol Development,,2,"$44,800.00",, 11 Mar 2025,1450.78,,$30.88,Completed
Build Zaino To Deprecate Zcashd and Decentralize Zcash,Zingo Labs,Protocol Development,,3,"$38,400.00",, 9 May 2025,903.1,,$42.52,Completed
Zcash Global <> Zcash Brazil - Q4,Zcash Brazil,Community,Monthly,1,"$4,260.00",, 5 Nov 2024,111.93,,$38.06,Completed
